ranking,name,score,review_count,quote,detail_url,introduce
84,心灵捕手,8.9,645670人评价,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/,"导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...
1997 / 美国 / 剧情"
85,低俗小说,8.9,759035人评价,故事的高级讲法。,https://movie.douban.com/subject/1291832/,"导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...
1994 / 美国 / 剧情 喜剧 犯罪"
86,春光乍泄,9.0,573464人评价,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/,"导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...
1997 / 中国香港 日本 韩国 / 剧情 爱情 同性"
87,摩登时代,9.3,270255人评价,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/,"导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...
1936 / 美国 / 剧情 喜剧 爱情"
88,七宗罪,8.8,872894人评价,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/,"导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...
1995 / 美国 / 剧情 犯罪 悬疑 惊悚"
89,喜剧之王,8.8,879188人评价,我是一个演员。,https://movie.douban.com/subject/1302425/,"导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...
1999 / 中国香港 / 喜剧 剧情 爱情"
90,致命ID,8.8,741243人评价,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/,"导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack / 雷...
2003 / 美国 / 剧情 悬疑 惊悚"
91,杀人回忆,8.9,633204人评价,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/,"导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...
2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚"
92,功夫,8.7,982731人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/,"导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...
2004 / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻"
93,超脱,9.0,502777人评价,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/,"导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...
2011 / 美国 / 剧情"
94,哈利·波特与阿兹卡班的囚徒,8.9,630353人评价,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/,"导演: Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...
2004 / 英国 美国 / 奇幻 冒险"
95,加勒比海盗,8.8,786147人评价,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/,"导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...
2003 / 美国 / 动作 冒险 奇幻"
96,被嫌弃的松子的一生,8.9,654133人评价,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/,"导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...
2006 / 日本 / 剧情 歌舞"
97,红辣椒,9.0,403978人评价,梦的勾结。,https://movie.douban.com/subject/1865703/,"导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...
2006 / 日本 / 动画 悬疑 科幻 惊悚"
98,狩猎,9.1,348643人评价,人言可畏。,https://movie.douban.com/subject/6985810/,"导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...
2012 / 丹麦 瑞典 / 剧情"
99,请以你的名字呼唤我,8.9,647082人评价,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/,"导演: 卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer / ...
2017 / 意大利 法国 巴西 美国 / 剧情 爱情 同性"
100,7号房的礼物,8.9,502886人评价,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/,"导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...
2013 / 韩国 / 剧情 喜剧 家庭"
101,剪刀手爱德华,8.7,969449人评价,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/,"导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...
1990 / 美国 / 剧情 奇幻 爱情"
102,勇敢的心,8.9,526508人评价,史诗大片的典范。,https://movie.douban.com/subject/1294639/,"导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...
1995 / 美国 / 动作 传记 剧情 历史 战争"
103,断背山,8.8,655468人评价,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/,"导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...
2005 / 美国 加拿大 / 剧情 爱情 同性 家庭"
